Title,Price,Bedrooms,Bathrooms,Square_feet,Dog,Cat,Parking,Smoking,Time_posted,Longitude,Latitude,Area
$3402 / 2br - 1247ft2 - 2 Weeks Free Rent On Your First Full Month! Select Remodeled Apt!! (dublin / pleasanton / livermore) ,3402.0,2.0,2.5,1247.0,Yes,Yes,,no smoking,2020-03-02 18:01:00,-121.8957,37.6873,eby
$2500 / 1br - 793ft2 - 2nd Floor W/ view of Downtown San Jose #202 (san jose downtown) ,2500.0,1.0,1.0,793.0,Yes,Yes,,no smoking,2020-03-02 18:01:00,-121.887166,37.335441,sby
$2875 / 1br - 800ft2 - Fantastic SOMA location (SOMA / south beach) ,2875.0,1.0,1.0,800.0,No,No,street parking,no smoking,2020-02-15 23:46:00,-122.41425,37.770568,sfc
$2812 / 3br - 996ft2 - 3 x 1.5 Bedrooms Apartment Home With Washer & Dryer! (Livermore) ,2812.0,3.0,1.0,996.0,Yes,Yes,street parking,no smoking,2020-03-02 18:01:00,-121.726027,37.681562,eby
"$2742 / 2br - 936ft2 - Granite Countertops, Stainless Steel Appliances, In-Unit Laundry - AND SO MUCH M (walnut creek) ",2742.0,2.0,1.0,936.0,Yes,Yes,,no smoking,2020-03-02 17:50:00,-122.052651,37.886202,eby
"$2170 / 2br - 939ft2 - $1,000 Off! Schedule A Tour Soon!!! (hayward / castro valley) ",2170.0,2.0,2.0,939.0,Yes,Yes,,no smoking,2020-03-02 18:01:00,-122.113061,37.635682,eby
"$4235 / 1br - 938ft2 - Chef's kitchen, Full-size vented washer and dryer, Recessed lighting (oakland downtown) ",4235.0,1.0,1.0,938.0,Yes,Yes,,no smoking,2020-03-02 18:01:00,-122.2851,37.8071,eby
"$1958 / 1br - 701ft2 - 2 Swimming Pools, Renovated Kitchen, Resident Lounge (hayward / castro valley) ",1958.0,1.0,1.0,701.0,Yes,Yes,,no smoking,2020-03-02 18:01:00,-122.113061,37.635682,eby
$2300 / 2br - Apartment next to Peralta Hacienda Historical Park (oakland east) ,2300.0,2.0,1.0,,No,No,,no smoking,2020-03-02 18:01:00,-122.2166,37.7806,eby
"$2106 / 2br - 939ft2 - Largest Floorplan at Great Price! $!,000 Off! (hayward / castro valley) ",2106.0,2.0,2.0,939.0,Yes,Yes,,no smoking,2020-03-02 18:01:00,-122.112181,37.635648,eby
"$3295 / 2br - 955ft2 - Renovated, Maple Kit Cabinets, Stainless Steel, Dbl Pane Windows (cupertino) ",3295.0,2.0,1.0,955.0,No,No,,smoking ok,2020-03-02 18:00:00,-122.04541,37.335938,sby
$6950 / 4br - 2200ft2 - Beautiful Four Bedroom on Large Lot (los altos) ,6950.0,4.0,2.5,2200.0,No,No,,no smoking,2020-03-02 18:00:00,-122.0824,37.354186,pen
$2000 / 2br - 960ft2 - 2 bedroom 2 bathroom walk in closet!! vp (rohnert pk / cotati) ,2000.0,2.0,2.0,960.0,No,Yes,,no smoking,2020-02-25 18:01:00,-122.6941,38.347,nby
$4295 / 1br - 1151ft2 - Large 1 bed Flat walk to Caltrain or tech Shuttle! Pets welcome! (SOMA / south beach) ,4295.0,1.0,2.0,1151.0,Yes,Yes,,smoking ok,2020-03-02 18:00:00,-122.3971,37.7621,sfc
$1950 / 2br - 816ft2 - 2 BEDROOM 1 BATH UNIT available !! hw (novato) ,1950.0,2.0,1.0,816.0,No,Yes,,smoking ok,2020-02-25 18:02:00,-122.533129,38.046135,nby
$6900 / 4br - 2500ft2 - Beautifully Updated Home in a Lovely Community (mountain view) ,6900.0,4.0,2.5,2500.0,Yes,Yes,,no smoking,2020-03-02 18:00:00,-122.063408,37.372541,pen
$1850 / 2br - 838ft2 - SPACIOUS 2 BEDROOM!  em (rohnert pk / cotati) ,1850.0,2.0,1.0,838.0,Yes,Yes,,no smoking,2020-02-25 18:09:00,-122.6941,38.347,nby
"$2795 / 1br - 770ft2 - Upstairs with Pool View! Sunny Location, Extra Storage Incl (cupertino) ",2795.0,1.0,1.0,770.0,No,No,,smoking ok,2020-03-02 18:00:00,-122.04541,37.335938,sby
"$1950 / 1br - 500ft2 - All Utilities included ,renovated  One bedroom in - law  apartment (daly city) ",1950.0,1.0,1.0,500.0,No,Yes,street parking,no smoking,2020-03-02 18:00:00,-122.478,37.6787,pen
$1900 / 2br - 840ft2 - special 2x1 unit available soon! cc (rohnert pk / cotati) ,1900.0,2.0,1.0,840.0,No,Yes,,no smoking,2020-02-25 18:09:00,-122.6941,38.347,nby
$3844 / 1br - 836ft2 - Spacious Open Living Room! Soaking Tube! 2 Vanities! AC! WD! 24hr Gym! (san bruno) ,3844.0,1.0,1.0,836.0,Yes,Yes,,no smoking,2020-03-02 18:00:00,-122.422398,37.632814,pen
"$3625 / 2br - 912ft2 - High-speed Internet, Highway Access, Fully-equipped kitchen (foster city) ",3625.0,2.0,1.0,912.0,No,No,,smoking ok,2020-02-29 17:24:00,-122.255778,37.552135,pen
"$2200 / 2br - 870ft2 - Vaulted Ceilings, Hardwood Floors, Disposal (Napa) ",2200.0,2.0,1.5,870.0,Yes,Yes,street parking,no smoking,2020-03-02 17:34:00,-122.302457,38.314539,nby
$1950 / 2br - 867ft2 - 2x1 upstairs unit! gm (rohnert pk / cotati) ,1950.0,2.0,1.0,867.0,Yes,Yes,,no smoking,2020-02-25 18:08:00,-122.6941,38.347,nby
$2925 / 2br - 1056ft2 - Two Bed available in a Gated Community and Pet Friendly! (dublin / pleasanton / livermore) ,2925.0,2.0,2.0,1056.0,Yes,Yes,,no smoking,2020-03-02 17:59:00,-121.910468,37.709888,eby
$2233 / 1br - 600ft2 - Live Remarkably! (fremont / union city / newark) ,2233.0,1.0,1.0,600.0,Yes,Yes,,no smoking,2020-03-02 17:59:00,-122.0497,37.5895,eby
$2399 / 2br - GORGEOUSLY UPDATED 2X2 - DESIGNER APPLIANCES-$1000 MOVE-IN SPECIAL! (santa rosa) ,2399.0,2.0,2.0,,Yes,Yes,,no smoking,2020-03-02 17:59:00,-122.672747,38.454666,nby
"$3495 / 2br - 1005ft2 - Wood Floors, AC, Granite Counter, SS Appliances, WiFi Lounge (cupertino) ",3495.0,2.0,2.0,1005.0,No,No,,smoking ok,2020-03-02 17:59:00,-122.04541,37.335938,sby
$2800 / 2br - 1150ft2 - 2 bedroom AVAILABLE !   pow (novato) ,2800.0,2.0,2.0,1150.0,Yes,Yes,,no smoking,2020-02-25 18:07:00,-122.534273,38.058297,nby
$3298 / 2br - 850ft2 - Schedule A Tour Today! Free Rent until April 1st! Rent Today! (palo alto) ,3298.0,2.0,1.0,850.0,Yes,Yes,,no smoking,2020-03-02 17:59:00,-122.1388,37.4673,pen
$2600 / 1br - 450ft2 - Beautiful Studio++ (potrero hill) ,2600.0,1.0,1.0,450.0,No,No,no parking,no smoking,2020-03-02 17:55:00,-122.3971,37.7621,sfc
"$2650 / 2br - 1050ft2 - Bright, Beautiful 2 Bedroom, 2 Bathroom Available Now! One Month Free! (san jose south) ",2650.0,2.0,2.0,1050.0,Yes,Yes,,smoking ok,2020-03-02 17:59:00,-121.840954,37.316916,sby
$2600 / 1br - REMODELED 1 bedroom blocks to Burlingame Avenue QUIET and PRIVATE! (san mateo) ,2600.0,1.0,1.0,,No,No,,no smoking,2020-02-15 13:44:00,-122.339981,37.572135,pen
$2795 / 2br - Lower Level Corner 2 BR 1 BA in 10-Plex (santa clara) ,2795.0,2.0,1.0,,No,No,,smoking ok,2020-03-02 17:59:00,-121.962061,37.32668,sby
$1950 / 2br - 816ft2 - 2 BEDROOM 1 BATH UNIT available !! hw (novato) ,1950.0,2.0,1.0,816.0,No,Yes,,smoking ok,2020-02-25 18:10:00,-122.533129,38.046135,nby
$3582 / 1br - 745ft2 - Lavish living in remarkable location w/spacious 1 bedroom floorplan! (mountain view) ,3582.0,1.0,1.0,745.0,Yes,Yes,,no smoking,2020-03-02 17:59:00,-122.085794,37.389801,sby
"$3295 / 2br - 955ft2 - Cupertino Schools, Upstairs Bright & Sunny, WD, Storage Unit (cupertino) ",3295.0,2.0,1.0,955.0,No,No,,smoking ok,2020-03-02 17:58:00,-122.04541,37.335938,sby
$3777 / 2br - 987ft2 - Spring isn't the only thing around the corner! So is your new home! (sunnyvale) ,3777.0,2.0,2.0,987.0,Yes,Yes,,no smoking,2020-03-02 17:58:00,-121.996071,37.40624,sby
$2874 / 2br - 967ft2 - Be The First To Live In A Brand New Luxury 2x1 Apt! Call & Tour Today! (san jose downtown) ,2874.0,2.0,1.0,967.0,Yes,Yes,,no smoking,2020-03-02 17:48:00,-121.883766,37.327141,sby
$2300 / 2br - Apartment next to Peralta Hacienda Historical Park (oakland east) ,2300.0,2.0,1.0,,No,No,,no smoking,2020-03-02 17:58:00,-122.2166,37.7806,eby
$1700 / 1br - 718ft2 - SPACIOUS 1BD !! cc (rohnert pk / cotati) ,1700.0,1.0,1.0,718.0,No,Yes,,no smoking,2020-02-25 17:43:00,-122.685397,38.341985,nby
$4299 / 2br - 1060ft2 - 2BR 2 BA *Fully Furnished available for move in Now !! (san jose west) ,4299.0,2.0,2.0,1060.0,No,No,,no smoking,2020-03-02 17:25:00,-121.92206,37.30657,sby
"$1780 / 1br - 680ft2 - Lifestyle and Wellness Program, Smoke-Free, Reserved Parking (rohnert pk / cotati) ",1780.0,1.0,1.0,680.0,Yes,Yes,,no smoking,2020-03-02 17:58:00,-122.6941,38.347,nby
$2795 / 1br - 680ft2 - Move In Special! One MONTH FREE RENT!!!!! (san mateo) ,2795.0,1.0,1.0,680.0,Yes,Yes,,smoking ok,2020-02-21 13:39:00,-122.285547,37.543434,pen
"$4628 / 2br - 998ft2 - Pet Wash , Leasing Now, Visit Your New Home (oakland lake merritt / grand) ",4628.0,2.0,2.0,998.0,Yes,Yes,,no smoking,2020-03-02 17:47:00,-122.269426,37.806213,eby
$1700 / 1br - 718ft2 - 1 BEDROOMS AVAILABLE ! ! vp (rohnert pk / cotati) ,1700.0,1.0,1.0,718.0,No,Yes,,smoking ok,2020-02-25 17:44:00,-122.688723,38.335757,nby
$1750 / 1br - 684ft2 - GREAT LOCATION DON'T MISS OUT!! !! hw (novato) ,1750.0,1.0,1.0,684.0,No,Yes,,no smoking,2020-03-02 17:58:00,-122.5404,38.0618,nby
"$2250 / 1br - 515ft2 - Remodeled, Great Value, Open Kit/LR, W/D, Patio, Yard, Prkg! (bayview) ",2250.0,1.0,1.0,515.0,No,No,street parking,no smoking,2020-02-27 17:02:00,-122.392695,37.733152,sfc
$1700 / 1br - 615ft2 - 1BD x 1BA unit available    em (rohnert pk / cotati) ,1700.0,1.0,1.0,615.0,Yes,Yes,,no smoking,2020-02-25 17:47:00,-122.683205,38.327593,nby
$2917 / 2br - 925ft2 - You Deserve This 2x2 w/ a Walk-In Closet! Check Out Your Future Home! (santa clara) ,2917.0,2.0,0.0,925.0,No,No,,smoking ok,2020-03-02 17:58:00,-121.968769,37.324642,sby
"$2650 / 1br - 970ft2 - Close to Downtown, Top Floor, Corner Loft (san jose downtown) ",2650.0,1.0,1.5,970.0,No,Yes,,smoking ok,2020-03-02 17:57:00,-121.895655,37.341872,sby
$1900 / 1br - 660ft2 - SUNNY 1 BEDROOM UNIT AVAILABLE NOW! wal (novato) ,1900.0,1.0,1.0,660.0,No,Yes,,no smoking,2020-02-25 17:55:00,-122.5837,38.0973,nby
$2300 / 2br - Apartment next to Peralta Hacienda Historical Park (oakland east) ,2300.0,2.0,1.0,,No,No,,no smoking,2020-03-02 17:57:00,-122.2166,37.7806,eby
$1600 / 1br - 620ft2 - 1 bedroom available    gm (rohnert pk / cotati) ,1600.0,1.0,1.0,620.0,Yes,Yes,,no smoking,2020-02-25 17:58:00,-122.6941,38.347,nby
"$3100 / 3br - 800ft2 - Spacious, Modern, Convenient 3BR/1BA apartment in Sunset (sunset / parkside) ",3100.0,3.0,1.0,800.0,No,No,street parking,no smoking,2020-03-02 17:57:00,-122.476033,37.748648,sfc
"$5645 / 2br - Furnished Apartments Available, Bike storage, Located in San Francisco (potrero hill) ",5645.0,2.0,2.0,,Yes,Yes,,no smoking,2020-02-09 09:51:00,-122.399557,37.763677,sfc
$2856 / 2br - 900ft2 - Spacious 2nd Floor 2 Bedroom at an Amazing Price! (oakland lake merritt / grand) ,2856.0,2.0,1.0,900.0,Yes,Yes,,no smoking,2020-03-02 17:36:00,-122.2429,37.7957,eby
$3103 / 1br - 686ft2 - Leave the tech to us! - NEST in every HOME (santa clara) ,3103.0,1.0,1.0,686.0,Yes,Yes,,no smoking,2020-03-02 17:56:00,-121.982884,37.341337,sby
"$1799 / 1br - 640ft2 - 1x1 Renting For Only $1,799!! Special Offer won't last long! (walnut creek) ",1799.0,1.0,1.0,640.0,Yes,Yes,,no smoking,2020-03-02 17:46:00,-122.052249,37.90876,eby
$2235 / 1br - 763ft2 - NEW REDUCED PRICE!! APPLY ONLINE TODAY!! OR CALL FOR MORE INFO!! (dublin / pleasanton / livermore) ,2235.0,1.0,1.0,763.0,No,No,,smoking ok,2020-02-27 17:20:00,-121.911587,37.704357,eby
"$2599 / 1br - 730ft2 - 1BR 1BA apt with Tall ceiling, Wow vanity! W/D inside, Modern kitchen (san jose downtown) ",2599.0,1.0,1.0,730.0,No,Yes,,smoking ok,2020-02-21 13:15:00,-121.888042,37.336653,sby
$3768 / 3br - 1739ft2 - LOWERED PRICE! Three Bedroom Two Bath with Loft READY NOW! (dublin / pleasanton / livermore) ,3768.0,3.0,2.0,1739.0,Yes,Yes,,no smoking,2020-03-02 17:56:00,-121.9226,37.7166,eby
"$5658 / 3br - 1433ft2 - New 3BR Townhome w/private entry -  Pool, Gym, Parking, Pet Spa! (oakland lake merritt / grand) ",5658.0,3.0,3.0,1433.0,No,No,,smoking ok,2020-03-02 17:42:00,-122.2223,37.8471,eby
"$2600 / 1br - 600ft2 - 1BR: Newly Remodeled, Modern, @ Heart of Mission; 2 blocks to BART (mission district) ",2600.0,1.0,1.0,600.0,No,No,street parking,no smoking,2020-03-02 17:56:00,-122.424103,37.764783,sfc
"$3445 / 2br - Card access garage and pedestrian entries, Master suites:, Kitchens: (san jose north) ",3445.0,2.0,2.0,,Yes,Yes,,no smoking,2020-03-02 17:55:00,-121.9406,37.4087,sby
$2395 / 2br - 1000ft2 - GORGEOUS TWO BEDROOM!SO LARGE!SO REMODELED!COME HOME! (san leandro) ,2395.0,2.0,1.0,1000.0,No,Yes,,no smoking,2020-03-02 17:42:00,-122.139176,37.726129,eby
"$2365 / 2br - 1265ft2 - Coming Soon to Harvest Park Near You! 2 Bed, 2 Bath Renovated Home! (santa rosa) ",2365.0,2.0,2.0,1265.0,Yes,Yes,,no smoking,2020-03-02 17:24:00,-122.71059,38.410705,nby
"$1675 / 1br - 693ft2 - Energy-efficient black GE appliances, Spa/Hot Tub, Electric ranges (dublin / pleasanton / livermore) ",1675.0,1.0,1.0,693.0,No,No,,smoking ok,2020-03-02 17:50:00,-121.451225,37.698709,eby
"$2350 / 2br - 1009ft2 - New Listing!! Book a Tour Today!! (1020 Jennings Avenue Santa Rosa, CA) ",2350.0,2.0,2.0,1009.0,Yes,Yes,,no smoking,2020-03-02 17:40:00,-122.729788,38.45236,nby
$1750 Detached Studio/Cottage with Private Entrance and bathroom (san jose north) ,1750.0,0.0,1.0,,No,No,street parking,no smoking,2020-02-24 19:08:00,-121.8208,37.3692,sfc
$5999 / 3br - Rarely available 3BR/3BA townhouse w/1 month free special! (excelsior / outer mission) ,5999.0,3.0,3.0,,No,No,,no smoking,2020-03-02 17:55:00,-122.440359,37.717866,sby
$2680 / 1br - 729ft2 - Beautiful one bedroom home available for immediate move in! (san jose south) ,2680.0,1.0,1.0,729.0,Yes,Yes,,no smoking,2020-03-02 17:54:00,-121.8306,37.2458,sby
$2576 / 1br - 731ft2 - All Wood Floors #118 ! Newly Renovated! 1st Floor |Ready (san jose north) ,2576.0,1.0,1.0,731.0,Yes,Yes,,no smoking,2020-03-02 17:54:00,-121.910455,37.36586,sby
$3300 / 1br - Luxury Condominium Apts with Skyline Views! (excelsior / outer mission) ,3300.0,1.0,1.0,,Yes,Yes,,no smoking,2020-03-02 17:54:00,-122.440359,37.717866,sfc
"$1895 REMODELED studio w/ HARDWOOD FLOORS, WALK-IN CLOSET (PHOTOS)!! (oakland lake merritt / grand) ",1895.0,0.0,1.0,,No,No,,no smoking,2020-02-12 18:35:00,-122.263065,37.804665,eby
"$1950 / 1br - 500ft2 - All Utilities included ,renovated  One bedroom in - law  apartment (daly city) ",1950.0,1.0,1.0,500.0,No,Yes,street parking,no smoking,2020-03-02 17:54:00,-122.478,37.6787,pen
$2100 / 1br - Lovely bungalow 1 bedroom and 1 bonus room (albany / el cerrito) ,2100.0,1.0,1.0,,No,No,,smoking ok,2020-02-26 21:22:00,-122.30648,37.900025,eby
"$1909 / 1br - 775ft2 - Remarkable value Corner Apartment Home, Ready For You! Ask for #932 (danville / san ramon) ",1909.0,1.0,1.0,775.0,Yes,Yes,,smoking ok,2020-03-02 17:54:00,-121.9155,37.7636,eby
$4584 / 2br - 965ft2 - 1 month free on prime location in downtown Mountain View! (mountain view) ,4584.0,2.0,2.0,965.0,Yes,Yes,,no smoking,2020-03-02 17:54:00,-122.085794,37.389801,sby
$3995 / 1br - 900ft2 - REMODELED and LARGE one bedroom in prime Pacific Heights! (pacific heights) ,3995.0,1.0,1.0,900.0,No,No,,no smoking,2020-02-25 09:13:00,-122.426231,37.795376,sfc
$5150 / 3br - Modern luxury living available now! (excelsior / outer mission) ,5150.0,3.0,2.0,,No,No,,no smoking,2020-03-02 17:54:00,-122.440359,37.717866,sfc
$3480 / 1br - 660ft2 - Mid-Rise Now Open for Leasing - Claim Your New Home Today @ Atlas (oakland downtown) ,3480.0,1.0,1.0,660.0,Yes,Yes,,no smoking,2020-03-02 17:54:00,-122.2851,37.8071,eby
"$2200 / 2br - 870ft2 - Large Private Patios, Laundry Facility, Carpeting (Napa) ",2200.0,2.0,1.5,870.0,Yes,Yes,street parking,no smoking,2020-02-27 12:26:00,-122.302457,38.314539,nby
$2850 Remodeled studio w/ Bay View in prime Pacific Heights HARDWOOD FLOORS (pacific heights) ,2850.0,0.0,1.0,,No,No,,no smoking,2020-02-29 10:49:00,-122.426231,37.795376,sfc
$3243 / 2br - 1063ft2 - Courtyard View # 149 [ Coming March 21st | 3D Virtual Tour (san jose north) ,3243.0,2.0,2.0,1063.0,Yes,Yes,,no smoking,2020-03-02 17:53:00,-121.910841,37.365809,sby
$2080 / 430ft2 - Studio/ 1BA Apartment- Mountain View (mountain view) ,2080.0,0.0,1.0,430.0,No,No,,smoking ok,2020-03-02 17:53:00,-122.067172,37.40244,sby
$1800 / 430ft2 - Studio/ 1BA Apartment- Mountain View (mountain view) ,1800.0,0.0,1.0,430.0,No,No,,smoking ok,2020-03-02 17:53:00,-122.067172,37.40244,sby
$3200 / 2br - 1146ft2 - A Commuter's Dream. Close to BART! (fremont / union city / newark) ,3200.0,2.0,2.0,1146.0,Yes,Yes,,no smoking,2020-02-27 16:15:00,-122.01916,37.590275,eby
$2080 / 430ft2 - Studio/ 1BA Apartment- Mountain View (mountain view) ,2080.0,0.0,1.0,430.0,No,No,,smoking ok,2020-03-02 17:52:00,-122.067172,37.40244,sby
$4300 / 3br - Free 1 Month Rent Move in Bonus!!! 3bd - 1/ba Apt with a Bonus Room fo (mission district) ,4300.0,3.0,1.0,,No,No,no parking,no smoking,2020-02-12 09:52:00,-122.416476,37.749141,sfc
$3350 / 1br - Beautiful New 1bd/1ba with Laminate Floors and Gr (potrero hill) ,3350.0,1.0,1.0,,No,No,street parking,smoking ok,2020-02-20 18:10:00,-122.405436,37.754155,sfc
"$2696 / 2br - 840ft2 - SAVE BIG!! Recently Upgraded 2BR apt, Open living space, LUX kitchen (cupertino) ",2696.0,2.0,1.5,840.0,No,Yes,,smoking ok,2020-02-17 13:27:00,-122.033456,37.308206,sby
$3395 SOMA -  Engineered Wood Floors Studio/Apartment for Rent - Please Cont (SOMA / south beach) ,3395.0,0.0,1.0,,No,No,no parking,smoking ok,2020-02-22 10:11:00,-122.406375,37.778262,sfc
"$2635 / 1br - 966ft2 - Our Biggest 1-Bedroom, Unique Floor Plan, 2nd Floor (hercules, pinole, san pablo, el sob) ",2635.0,1.0,1.0,966.0,Yes,Yes,,no smoking,2020-03-02 17:52:00,-122.2637,38.0066,eby
$1500 / 250ft2 - Great Studio Apartment on 3 acres with Front Porch and Yard (petaluma) ,1500.0,0.0,1.0,250.0,No,No,,smoking ok,2020-02-23 11:45:00,-122.670336,38.264737,nby
$1600 / 380ft2 - Nice Studio - Remodeled - Quiet Building (oakland east) ,1600.0,0.0,1.0,380.0,No,No,no parking,no smoking,2020-03-02 17:52:00,-122.210105,37.772687,eby
$3181 / 2br - 900ft2 - 16th Floor 2 Bedroom Overlooking San Francisco (oakland lake merritt / grand) ,3181.0,2.0,1.0,900.0,Yes,Yes,,no smoking,2020-03-02 17:38:00,-122.2429,37.7957,eby
$2127 / 1br - 890ft2 - You're In Luck! First floor with a Garage 1 Bedroom Is Available! #117 (danville / san ramon) ,2127.0,1.0,1.0,890.0,Yes,Yes,,smoking ok,2020-03-02 17:51:00,-121.9155,37.7636,eby
$2945 / 1br - 778ft2 - Charming One Bed One Bath Apartment Home with Courtyard View!! (san jose north) ,2945.0,1.0,1.0,778.0,Yes,Yes,,no smoking,2020-03-02 17:51:00,-121.9406,37.4087,sby
"$3595 / 2br - 1052ft2 - 1 Month FREE!!! 2 Bed - 2 Bath, Minutes to Shopping and Dining ",3595.0,2.0,2.0,1052.0,Yes,Yes,,smoking ok,2020-02-29 16:58:00,-121.983918,37.229594,sby
$3220 / 571ft2 - Stylish Studios! Ask about our Specials! (sunnyvale) ,3220.0,0.0,1.0,571.0,Yes,Yes,,no smoking,2020-03-02 17:51:00,-122.0006,37.3983,sby
$4169 / 2br - Modern 2BD/1BA Top Floor Views! Quick Roof Access to Outdoor Grills! (downtown / civic / van ness) ,4169.0,2.0,1.0,,Yes,Yes,,no smoking,2020-02-29 13:38:00,-122.418043,37.777512,sfc
$3560 / 2br - 910ft2 - 2x2 unit with great sunlight! (sunnyvale) ,3560.0,2.0,2.0,910.0,Yes,Yes,,no smoking,2020-03-02 17:50:00,-122.0177,37.3886,sby
$2823 / 1br - 778ft2 - Sunny Spacious One bedroom One bath Top floor with Courtyard view! (san jose north) ,2823.0,1.0,1.0,778.0,Yes,Yes,,no smoking,2020-03-02 17:50:00,-121.9406,37.4087,sby
$2300 / 2br - Apartment next to Peralta Hacienda Historical Park (oakland east) ,2300.0,2.0,1.0,,No,No,,no smoking,2020-03-02 17:50:00,-122.2166,37.7806,eby
$3100 / 2br - 1088ft2 - Beautiful Fully Furnished  2x2 Apartment Home Available Soon! (napa county) ,3100.0,2.0,2.0,1088.0,Yes,Yes,,smoking ok,2020-03-02 17:50:00,-122.269684,38.290514,nby
$2968 / 1br - 811ft2 - Be amazed by the greenery views outside your home (santa clara) ,2968.0,1.0,1.0,811.0,Yes,Yes,street parking,no smoking,2020-03-02 17:41:00,-121.995127,37.34894,sby
"$3700 / 3br - $3,700 - 3 Br / 2 Ba Spacious Apt. Convenient Location. (alameda) ",3700.0,3.0,2.0,,No,No,street parking,no smoking,2020-03-02 17:29:00,-122.24558,37.760428,eby
"$3245 / 2br - 1060ft2 - Tour today, private patio or balcony, Wood flooring, near parks (santa clara) ",3245.0,2.0,2.0,1060.0,No,No,,smoking ok,2020-03-02 17:40:00,-121.972061,37.325429,sby
"$2190 / 2br - Abundant cabinet & counter space, Lush landscaping, Tot Lot (santa rosa) ",2190.0,2.0,2.0,,Yes,Yes,,no smoking,2020-03-02 17:40:00,-122.729108,38.435522,nby
$2295 / 1br - 701ft2 - Water & Garbage Pd. M/I 4/17/20 (santa clara) ,2295.0,1.0,1.0,701.0,No,No,,no smoking,2020-03-02 17:40:00,-121.99897,37.347441,sby
"$3945 / 3br - 1285ft2 - Walk to Parks, Shopping, Starbucks, Granite, Wood Floors,  Pool (santa clara) ",3945.0,3.0,2.0,1285.0,No,No,,smoking ok,2020-03-02 17:40:00,-121.972061,37.325429,sby
$2795 / 3br - THREE BEDROOM 2 BATH FULLY REMODELED (hayward / castro valley) ,2795.0,3.0,2.0,,Yes,Yes,street parking,no smoking,2020-03-02 17:24:00,-122.072627,37.631371,eby
$3695 / 1br - 686ft2 - Live @ Locale! Your new home awaits- Mountain View- Free Parking! (redwood city) ,3695.0,1.0,1.0,686.0,Yes,Yes,,no smoking,2020-02-05 14:14:00,-122.230347,37.488888,pen
"$3274 / 1br - 656ft2 - One-Bedroom, One-Bathroom Apt. near San Antonio Caltrain! (mountain view) ",3274.0,1.0,1.0,656.0,Yes,Yes,,no smoking,2020-03-02 17:40:00,-122.095163,37.40417,sby
